Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10026576370000839,0.10070170013284972,0.10026576370000839,0.10026576370000839,469033600,0.0,0.0
1980-12-15,0.09547048960487446,0.09547048960487446,0.09503454715013504,0.09503454715013504,175884800,0.0,0.0
1980-12-16,0.08849541384432974,0.08849541384432974,0.08805947750806808,0.08805947750806808,105728000,0.0,0.0
1980-12-17,0.09023918211460114,0.09067511853349447,0.09023918211460114,0.09023918211460114,86441600,0.0,0.0
1980-12-18,0.0928548127412796,0.09329074916239133,0.0928548127412796,0.0928548127412796,73449600,0.0,0.0
1980-12-19,0.09852201491594315,0.09895795138678479,0.09852201491594315,0.09852201491594315,48630400,0.0,0.0
1980-12-22,0.10331734269857407,0.10375327918343155,0.10331734269857407,0.10331734269857407,37363200,0.0,0.0
1980-12-23,0.10767675191164015,0.1081126885289817,0.10767675191164015,0.10767675191164017,46950400,0.0,0.0
1980-12-24,0.11334390193223953,0.1137798383600185,0.11334390193223953,0.11334390193223953,48003200,0.0,0.0
1980-12-26,0.12380646169185638,0.12424239825671127,0.12380646169185638,0.12380646169185638,55574400,0.0,0.0
1980-12-29,0.12555016577243805,0.1259861021908392,0.12555016577243805,0.12555016577243805,93161600,0.0,0.0
1980-12-30,0.12293451567094753,0.12293451567094753,0.12249857932329179,0.12249857932329178,68880000,0.0,0.0
1980-12-31,0.11944695829762089,0.11944695829762089,0.11901102215051652,0.11901102215051651,35750400,0.0,0.0
1981-01-02,0.1203189268708229,0.12119081150350762,0.1203189268708229,0.1203189268708229,21660800,0.0,0.0
1981-01-05,0.1181391878278812,0.1181391878278812,0.11770325154066086,0.11770325154066086,35728000,0.0,0.0
1981-01-06,0.1129079864004067,0.1129079864004067,0.1124720498919487,0.1124720498919487,45158400,0.0,0.0
1981-01-07,0.1081126885289817,0.1081126885289817,0.10767675191164015,0.10767675191164017,55686400,0.0,0.0
1981-01-08,0.10593290901984409,0.10593290901984409,0.10549697279930115,0.10549697279930115,39827200,0.0,0.0
1981-01-09,0.11116419732570648,0.1116001453518292,0.11116419732570648,0.11116419732570648,21504000,0.0,0.0
1981-01-12,0.11116423323888971,0.11116423323888971,0.11029236018657684,0.11029236018657684,23699200,0.0,0.0
1981-01-13,0.10680485823102884,0.10680485823102884,0.10636892169713974,0.10636892169713974,23049600,0.0,0.0
1981-01-14,0.10680481791496277,0.10724075428429712,0.10680481791496277,0.10680481791496277,14291200,0.0,0.0
1981-01-15,0.10898455232381819,0.1098564253898567,0.10898455232381819,0.1089845523238182,14067200,0.0,0.0
1981-01-16,0.10854860370533163,0.10854860370533163,0.1081126555800438,0.10811265558004379,13395200,0.0,0.0
1981-01-19,0.11465168744325638,0.11508762373638522,0.11465168744325638,0.11465168744325638,41574400,0.0,0.0
1981-01-20,0.1116001453518292,0.1116001453518292,0.11116419732570648,0.11116419732570648,30083200,0.0,0.0
1981-01-21,0.11334390193223953,0.11421577478779747,0.11334390193223953,0.11334390193223953,15904000,0.0,0.0
1981-01-22,0.11465168744325638,0.11552356002951404,0.11465168744325638,0.11465168744325638,35548800,0.0,0.0
1981-01-23,0.11465176927283005,0.11508770587709674,0.11421582102775574,0.11421582102775574,11222400,0.0,0.0
1981-01-26,0.1129079864004067,0.1129079864004067,0.1124720498919487,0.1124720498919487,24640000,0.0,0.0
1981-01-27,0.11247204850608901,0.11247204850608901,0.11160017549991609,0.11160017549991608,23699200,0.0,0.0
1981-01-28,0.10854860370533163,0.10854860370533163,0.1081126555800438,0.10811265558004379,28156800,0.0,0.0
1981-01-29,0.10462512365439745,0.10462512365439745,0.1041891872882843,0.1041891872882843,43904000,0.0,0.0
1981-01-30,0.0993938994984305,0.0993938994984305,0.09852201491594315,0.09852201491594315,46188800,0.0,0.0
1981-02-02,0.09329074916239133,0.09329074916239133,0.0928548127412796,0.0928548127412796,23766400,0.0,0.0
1981-02-03,0.0963423028588295,0.09677823922160594,0.0963423028588295,0.0963423028588295,19152000,0.0,0.0
1981-02-04,0.09982984513044359,0.1002657816412902,0.09982984513044359,0.09982984513044357,27865600,0.0,0.0
1981-02-05,0.09982984513044359,0.10070171815213681,0.09982984513044359,0.09982984513044357,7929600,0.0,0.0
1981-02-06,0.10026576370000839,0.10070170013284972,0.10026576370000839,0.10026576370000839,13865600,0.0,0.0
1981-02-09,0.09590642623920966,0.09590642623920966,0.09503454715013504,0.09503454715013504,16755200,0.0,0.0
1981-02-10,0.09503454715013504,0.09547048960487446,0.09503454715013504,0.09503454715013504,18345600,0.0,0.0
1981-02-11,0.09241886563921653,0.09241886563921653,0.09198292344808578,0.09198292344808578,13843200,0.0,0.0
1981-02-12,0.09154702285003163,0.09154702285003163,0.09111108630895615,0.09111108630895615,14560000,0.0,0.0
1981-02-13,0.08980323793350795,0.08980323793350795,0.0889313593506813,0.0889313593506813,11155200,0.0,0.0
1981-02-17,0.09111108630895615,0.09154702285003163,0.09111108630895615,0.09111108630895615,12275200,0.0,0.0
1981-02-18,0.09503454715013504,0.09590642623920966,0.09503454715013504,0.09503454715013504,19241600,0.0,0.0
