,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
fillingDate,2020-10-30,2019-10-31 00:00:00,2018-11-05 00:00:00,2017-11-03 00:00:00,2016-10-26 00:00:00,2015-10-28 00:00:00,2014-10-27 00:00:00,2013-10-30 00:00:00,2012-10-31 00:00:00,2011-10-26 00:00:00,2010-10-27 00:00:00,2009-10-27 00:00:00,2008-11-05 00:00:00,2007-11-15 00:00:00,2006-12-29,2005-12-01,2004-12-03,2003-12-19,2002-12-19 00:00:00,2001-12-21,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
acceptedDate,2020-10-29 18:06:25,2019-10-30 18:12:36,2018-11-05 08:01:40,2017-11-03 08:01:37,2016-10-26 16:42:16,2015-10-28 16:31:09,2014-10-27 17:11:55,2013-10-29 20:38:28,2012-10-31 17:07:19,2011-10-26 16:35:25,2010-10-27 16:36:21,2009-10-27 16:18:29,2008-11-05 06:16:23,2007-11-15 16:49:37,2006-12-29 06:05:58,2005-11-30 21:22:48,2004-12-02 18:05:49,2003-12-19 17:25:45,2002-12-19 17:20:21,2001-12-21 00:00:00,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
accountPayables,42296000000,46236000000,55888000000,44242000000,37294000000,35490000000,30196000000,22367000000,21175000000,14632000000,12015000000,5601000000,5520000000,4970000000,3390000000,1779000000,1451000000,1154000000,911000000,801000000,1157000000,812000000,719000000,685000000,791000000,1165000000,882000000
shortTermDebt,8773000000,5980000000,11964000000,11977000000,8105000000,8499000000,6308000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000000,186000000,461000000,292000000
taxPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deferredRevenue,6643000000,5522000000,7543000000,7548000000,8080000000,8940000000,8491000000,7435000000,5953000000,4091000000,2984000000,10305000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherCurrentLiabilities,47680000000,43242000000,39293000000,38099000000,9156000000,9952000000,19255000000,16509000000,14084000000,10910000000,7114000000,4612000000,7656000000,3557000000,2278000000,1129000000,843000000,607000000,449000000,411000000,343000000,378000000,497000000,731000000,649000000,362000000,455000000
totalCurrentLiabilities,105392000000,105718000000,115929000000,100814000000,79006000000,80610000000,63448000000,43658000000,38542000000,27970000000,20722000000,11506000000,14092000000,9299000000,6471000000,3484000000,2680000000,2357000000,1658000000,1518000000,1933000000,1549000000,1520000000,1818000000,2003000000,2325000000,1944000000
longTermDebt,98667000000,91807000000,93735000000,97207000000,75427000000,53329000000,28987000000,16960000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316000000,317000000,300000000,300000000,954000000,951000000,949000000,303000000,304000000
deferredRevenueNonCurrent,0.0,0.0,2797000000,2836000000,2930000000,3624000000,3031000000,2625000000,2648000000,1686000000,1139000000,4485000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deferredTaxLiabilitiesNonCurrent,0.0,0.0,0.0,0.0,0.0,0.0,4318000000,3453000000,2583000000,2014000000,1636000000,0.0,0.0,0.0,0.0,0.0,294000000,235000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherNonCurrentLiabilities,54490000000,50503000000,48914000000,11747000000,12985000000,12989000000,7598000000,6344000000,5465000000,3627000000,2370000000,2139000000,3775000000,897000000,369000000,293000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
totalNonCurrentLiabilities,153157000000,142310000000,142649000000,140458000000,114431000000,90380000000,56844000000,39793000000,19312000000,11786000000,6670000000,4355000000,4450000000,1516000000,750000000,601000000,294000000,235000000,545000000,583000000,763000000,508000000,1127000000,1215000000,1303000000,1005000000,975000000
