,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
fillingDate,2020-10-30,2019-10-31 00:00:00,2018-11-05 00:00:00,2017-11-03 00:00:00,2016-10-26 00:00:00,2015-10-28 00:00:00,2014-10-27 00:00:00,2013-10-30 00:00:00,2012-10-31 00:00:00,2011-10-26 00:00:00,2010-10-27 00:00:00,2009-10-27 00:00:00,2008-11-05 00:00:00,2007-11-15 00:00:00,2006-12-29,2005-12-01,2004-12-03,2003-12-19,2002-12-19 00:00:00,2001-12-21,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
acceptedDate,2020-10-29 18:06:25,2019-10-30 18:12:36,2018-11-05 08:01:40,2017-11-03 08:01:37,2016-10-26 16:42:16,2015-10-28 16:31:09,2014-10-27 17:11:55,2013-10-29 20:38:28,2012-10-31 17:07:19,2011-10-26 16:35:25,2010-10-27 16:36:21,2009-10-27 16:18:29,2008-11-05 06:16:23,2007-11-15 16:49:37,2006-12-29 06:05:58,2005-11-30 21:22:48,2004-12-02 18:05:49,2003-12-19 17:25:45,2002-12-19 17:20:21,2001-12-21 00:00:00,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
incomeBeforeTax,67091000000,65737000000,72903000000,64089000000,61372000000,72515000000,53483000000,50155000000,55763000000,34205000000,18540000000,12066000000,6895000000,5008000000,2818000000,1815000000,383000000,92000000,87000000,-52000000,1092000000,676000000,329000000,-1045000000,-1295000000,674000000,500000000
incomeBeforeTaxRatio,0.244398302460703,0.252666,0.274489,0.279579,0.284605,0.310271,0.292585,0.293459,0.356295,0.315984,0.284247,0.281226,0.212291,0.208615,0.145897,0.130285,0.046262,0.014822,0.015152,-0.009696,0.136791,0.110205,0.055378,-0.147578,-0.131699,0.060929,0.054413
incomeTaxExpense,9680000000,10481000000,11872000000,15738000000,15685000000,19121000000,13973000000,13118000000,14030000000,8283000000,4527000000,3831000000,2061000000,1512000000,829000000,480000000,107000000,24000000,22000000,-15000000,306000000,75000000,20000000,0.0,-479000000,250000000,190000000
netIncome,57411000000,55256000000,59531000000,48351000000,45687000000,53394000000,39510000000,37037000000,41733000000,25922000000,14013000000,8235000000,4834000000,3496000000,1989000000,1335000000,276000000,69000000,65000000,-25000000,786000000,601000000,309000000,-1045000000,-816000000,424000000,310000000
netIncomeRatio,0.209136112780722,0.212381,0.224142,0.210924,0.211868,0.228458,0.216144,0.216705,0.266651,0.239466,0.214841,0.191936,0.148835,0.14563,0.102977,0.095829,0.033337,0.011116,0.01132,-0.004662,0.098459,0.097978,0.052011,-0.147578,-0.082986,0.038329,0.033736
eps,3.31,2.97145,2.97649,2.30169,2.07658,2.30422,1.61318,1.41969,1.57673,0.98833,0.54121,0.32426,0.19137,0.1404,0.08095,0.05565,0.01273,0.00339,0.00321,-0.00129,0.03895,0.03081,0.01643,-0.07401,-0.05887,0.03077,0.02331
epsdiluted,3.28,2.97145,2.97649,2.30169,2.07658,2.30422,1.61318,1.41969,1.57673,0.98833,0.54121,0.32426,0.19137,0.1404,0.08095,0.05565,0.01273,0.00339,0.00321,-0.00129,0.03895,0.03081,0.01643,-0.07401,-0.05887,0.03077,0.02331
weightedAverageShsOut,17352119000,18595652000,20000436000,21006768000,22001124000,23172276000,24492000000,26088000000,26468000000,26228000000,25892000000,25396000000,25260000000,24900000000,24572000000,23988000000,21688000000,20356000000,20260000000,19356000000,20180000000,19508000000,18808000000,14120000000,13860000000,13780000000,13300000000
weightedAverageShsOutDil,17528214000,18595652000,20000436000,21006768000,22001124000,23172276000,24492000000,26088000000,26468000000,26228000000,25892000000,25396000000,25260000000,24900000000,24572000000,23988000000,21688000000,20356000000,20260000000,19356000000,20180000000,19508000000,18808000000,14120000000,13860000000,13780000000,13300000000
link,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.html,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/0001047469-07-009340-index.html,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/0001047469-02-007674-index.html,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/0000912057-00-053623-index.html,https://www.sec.gov/Archives/edgar/data/320193/000091205799010244/0000912057-99-010244-index.html,,https://www.sec.gov/Archives/edgar/data/320193/000104746997006960/0001047469-97-006960-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019396000023/0000320193-96-000023-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019395000016/0000320193-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019394000016/0000320193-94-000016-index.html
finalLink,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/a2096490z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/a2032880z10-k.txt,https://www.sec.gov/Archives/edgar/data/320193/0000912057-99-010244.txt,,https://www.sec.gov/Archives/edgar/data/320193/0001047469-97-006960.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-96-000023.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-95-000016.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-94-000016.txt
