,Country,Sector,Industry,Net_Income_Ratio,Operating_Income_Ratio,Gross_Profit_Ratio,EPS,Working_Capital,ROE,PE_Ratio,PB_Ratio,Current_Ratio,Debt_To_Equity,Debt_To_Asset,Dividend_Yield,Market_Capital,Net_Income_Ratio_Ranking,Operating_Income_Ratio_Ranking,Gross_Profit_Ratio_Ranking,EPS_Ranking,Working_Capital_Ranking,ROE_Ranking,PE_Ratio_Ranking,PB_Ratio_Ranking,Current_Ratio_Ranking,Debt_To_Equity_Ranking,Debt_To_Asset_Ranking,Dividend_Yield_Ranking,Market_Capital_Ranking
EOS,US,Financial Services,Asset Management,25.769628,-0.168981,-0.111356,3.93225,,0.22433249739618183,4.435505473997611,0.9950280201963191,,0.013991341940964606,0.013798285411572275,0.0725882511916452,855042503.1750001,21,3633,3634,634,4157,627,2050,1358,4184,299,53,412,2649
BCX,US,Financial Services,Asset Management,23.325216,-0.969723,-0.888618,1.19687,,0.1324659308142434,6.068175701580118,0.8038265426541847,0.0,0.01185874888882304,0.011719767254363717,0.08701045949059119,661351294.2800001,22,4068,3675,1822,4157,1203,2133,980,4175,296,50,339,2814
WFC,US,Financial Services,Banks Diversified,22.7578579744,28.1699650757,1.0,4.41745,,0.10445855107776816,10.474314436544068,1.094131709574343,0.0,9.29973924102038,0.9029101633935218,0.046829892930310944,204762372919.99997,23,18,8,541,4157,1610,2537,1529,4175,4497,4292,677,362
RLMD,US,Healthcare,Drug Manufacturers General Specialty & Generic,22.755841364,16.7244211196,1.0,-2.74377,7377960.0,-2.274705384773003,-3.1052138865438734,7.063446748593254,3.830687302890555,0.3423499866024284,0.2550380489504126,,53776280.4,24,35,8,4377,2789,4600,1365,3726,886,1006,769,2359,4226
BMRC,US,Financial Services,Banks Regional,21.5895334174,28.9369482976,1.0,2.48231,-2367753000.0,0.10166929938121311,17.63248554072603,1.7926824512749862,1.3092410456359195e-05,7.038528688670618,0.8755991253213558,0.018149778115219294,603753937.4,25,17,8,1077,3943,1656,3173,2331,4164,4253,4044,1449,2886
SFBS,US,Financial Services,Banks Regional,21.0914358395,26.4077162239,1.0,2.75849,,0.1772103350827614,13.42384594836609,2.378844238609324,0.0,9.624395022441758,0.9058769936652662,0.012037445815273178,2003415040.8720002,26,21,8,976,4157,843,2877,2702,4175,4515,4312,1701,2106
LMST,US,Financial Services,Banks Regional,20.994011976,21.9520958084,1.0,1.42267,,0.09946099290780142,11.956373958927554,1.189192825531915,0.0,10.780416075650118,0.915113354776409,,125757141.30000001,27,27,8,1673,4157,1701,2712,1681,4175,4579,4375,2359,3889
QQQX,US,Financial Services,Asset Management,20.594515,0.214496,0.248776,5.32734,,,,,,,,,,28,1170,2845,404,4157,4758,4753,4719,4184,4785,4840,2359,4787
FCCY,US,Financial Services,Banks Regional,20.5641025641,28.1659125189,1.0,1.52617,-1394580000.0,0.0799282439705003,13194.572392283997,1054.619001256903,0.0018230268257645869,8.2993352014914,0.8924654313095819,1.4413979726217157e-05,179894799996.4,29,19,8,1610,3873,2038,4604,4366,4150,4404,4197,2279,380
BOCH,US,Financial Services,Banks Regional,20.4945205479,28.0328767123,1.0,0.83006,-1263533000.0,0.08574720022008506,13.07555895996257,1.1211925721294376,0.016607114644193854,7.480243927601188,0.8820788637051775,0.016301727641248646,195623437.60000002,30,20,8,2065,3861,1945,2827,1580,4053,4306,4100,1540,3646
BKU,US,Financial Services,Banks Regional,18.9308906222,24.4268698228,1.0,3.27314,-29280751000.0,0.10503898477545635,10.421019019080289,1.0946132580899155,0.007278179828843959,10.02775247678543,0.9093196911968142,0.0257701956954685,3262800212.836,31,22,8,804,4123,1589,2529,1530,4128,4549,4346,1163,1757
WSBC,US,Financial Services,Banks Regional,18.6470657277,22.6776995305,1.0,2.8262,,0.0612482030100377,11.44165484823727,0.7007807989156185,0.0,5.060366526197213,0.8349934784179655,0.03662234434254473,1817770030.7039998,32,25,8,956,4157,2298,2638,849,4175,3994,3785,856,2164
CATC,US,Financial Services,Banks Regional,17.8747346072,24.0042462845,1.0,5.41796,-2518163000.0,0.08813830214160336,13021.152041572634,1147.6622328718843,0.01978939681635125,8.96493940208193,0.899648160450321,2.8938025506314013e-05,328875237114.0,33,23,8,393,3952,1902,4603,4386,4033,4472,4265,2241,282
BWFG,US,Financial Services,Banks Regional,17.8064516129,22.4261974585,1.0,2.34,-1596527000.0,0.0998700636523627,11516.665646327405,1150.1701311616966,0.04660935471503865,9.319149986019507,0.9030927933642974,1.9443476932793856e-05,209787581413.5,34,26,8,1151,3894,1694,4588,4388,3977,4499,4294,2266,358
RVT,US,Financial Services,Asset Management,17.565436,0.475565,0.52615,3.91513,,0.2361955483033154,3.5932896422147356,0.8487190172555334,0.0,0.044239092750753856,0.0423649074217266,0.07659149438145514,1381748076.0059998,35,528,1541,639,4157,589,2007,1055,4175,383,138,389,2334
IOR,US,Financial Services,Mortgage Finance,17.4894514768,-6.70042194093,1.0,0.99313,-9000.0,0.04134993316174857,12737.512364294329,526.6952849105165,0.35714285714285715,0.00013966201791664173,0.00013964251516118735,,52796988750.0,36,4310,8,1946,3101,2543,4599,4279,3760,259,11,2359,591
WTBA,US,Financial Services,Banks Regional,17.4513381995,21.7408759124,1.0,1.7409,,0.13544518931167973,13.18394255838271,1.7857015956944575,0.0,10.678269285242187,0.9143708733224967,0.03589714868879227,378247312.0,37,28,8,1453,4157,1160,2848,2327,4175,4577,4373,868,3192
ESQ,US,Financial Services,Banks Regional,16.9377245509,22.919760479,1.0,1.81676,-625054000.0,0.12734328573229367,12.287958045676307,1.5647889524769947,0.08998340273126984,6.185247879562767,0.8608259566320137,,173788590.64,38,24,8,1409,3756,1264,2748,2137,3929,4137,3929,2359,3720
STL,US,Financial Services,Banks Regional,16.1770209864,20.4548071824,1.0,2.07169,,0.09426718494660068,9.741801271212834,0.9183321821464497,0.0,5.751817669890354,0.8518917351012769,0.016077550858832557,4160148556.66,39,29,8,1271,4157,1800,2452,1196,4175,4072,3866,1551,1601
SSSS,US,Financial Services,Asset Management,16.014829,-6.318743,1.962199,1.03832,44811419840.0,0.11981805075488969,6.534387496545419,0.7829375727131955,900.0485322359176,0.4434173752555369,0.3071996934892349,0.022443062273584818,156522757.776,40,4304,6,1926,36,1361,2166,937,7,1227,991,1289,3788
MBCN,US,Financial Services,Banks Regional,15.1141498216,18.1961950059,1.0,1.95469,,0.0922591181273816,12.753713490362678,1.1766463594701506,0.0,7.582652876066049,0.8834859087929977,0.022731134780438214,162112452.176,41,31,8,1325,4157,1835,2790,1663,4175,4318,4112,1276,3761
RCG,US,Financial Services,Asset Management,14.71215,-0.928733,0.569529,0.28441,,0.13699920606209226,5.942185281017024,0.814074665773183,0.0,0.10564877514237872,0.09555371909295665,,10058812.4,42,4061,1351,2532,4157,1146,2127,995,4175,500,256,2359,4621
TURN,US,Financial Services,Asset Management,14.6776,-5.379779,0.0,0.42346,,0.13841367686394512,5.14801350950423,0.7125554783957425,,0.04803681489332831,0.04583504530632124,,67845000.80000001,43,4283,3610,2410,4157,1126,2083,859,4184,393,148,2359,4143
ADX,US,Financial Services,Asset Management,14.275748,0.664969,0.0,4.39771,,0.24531626913507376,3.6188587526457567,0.8877649277258638,,0.014049281334285691,0.01385463361781411,0.08639507177975884,1732554611.235,44,310,3610,545,4157,563,2008,1131,4184,300,54,343,2201
CET,US,Financial Services,Asset Management,13.975356,0.668678,0.0,9.69567,,0.2523775480282151,3.3687211708886045,0.850189589099604,,0.0011216323668612669,0.0011203757171938168,0.025591549688015466,845594356.88,45,304,3610,154,4157,543,2001,1058,4184,267,19,1168,2654
RGT,US,Financial Services,Asset Management,13.652868,0.235125,0.318067,3.23119,,0.23764902819980252,3.620956689278997,0.8605168383607279,0.0,0.06252521703278659,0.05884586646084018,0.005117722633933943,122890598.99999999,46,1089,2503,820,4157,584,2009,1074,4175,417,173,1998,3907
AUBN,US,Financial Services,Banks Regional,13.5857740586,16.8912133891,1.0,2.71983,,0.09906639004149377,21.72485103623858,2.152202566349361,,7.419565128956147,0.8812290201829012,0.016893346716515226,211621773.944,47,33,8,990,4157,1710,3422,2568,4184,4301,4095,1510,3592
NYCB,US,Financial Services,Banks Regional,13.4840768679,17.8621360549,1.0,0.84834,,0.058858911029018905,12.416887238994235,0.7308444612573218,0.0,6.992143414166379,0.8748771201693576,0.07139804429585364,4905204385.554,48,32,8,2058,4157,2319,2762,877,4175,4243,4034,419,1510
FFBC,US,Financial Services,Banks Regional,13.337485691199246,16.35324220591206,1.0,2.00376,,0.0881232190167304,11.903880582591444,1.0490082757287098,0.0,5.456196431471212,0.8451100410877486,0.037787212421797986,2357861146.3968,49,37,8,1305,4157,1904,2702,1443,4175,4041,3834,841,1983
NRIM,US,Financial Services,Banks Regional,13.289017341,16.7790622993,1.0,3.03912,,0.09990005648981011,12.340657986950848,1.2328324300178162,0.0,6.937523235659072,0.8740161168275349,0.03333587185057554,255340554.40800002,50,34,8,876,4157,1693,2754,1738,4175,4231,4023,929,3465
FCBP,US,Financial Services,Banks Regional,13.1172868582,18.804521903,1.0,2.3828,,0.1063692442848685,10.276019089808964,1.093052384839862,,5.456423674108592,0.8451154926511131,0.03468958539262296,286166579.61300004,51,30,8,1125,4157,1567,2511,1524,4184,4042,3835,893,3382
WABC,US,Financial Services,Banks Regional,12.6457448482,16.5512033978,1.0,2.97671,,0.10990857472549859,21.34276564206546,2.345752952419755,,6.68310690071464,0.8698443204132712,0.02561135157657405,1715723587.2,52,36,8,902,4157,1511,3402,2679,4184,4199,3991,1167,2208
CIVB,US,Financial Services,Banks Regional,12.51496121167344,14.614333210195788,1.0,2.01036,-1925915000.0,0.10262142333533257,10.443584461750989,1.0717355021876496,0.012353307993214373,5.995986380957574,0.857060899557794,0.02033307611444934,353807754.3952,53,41,8,1303,3919,1644,2532,1489,4091,4108,3900,1366,3245
PACW,US,Financial Services,Banks Regional,12.1010147959,16.3436362228,1.0,3.93924,-20720268000.0,0.09458418950745122,,,0.029854257152344434,4.40311667898158,0.8149216351573426,,,54,38,8,630,4115,1791,4753,4719,4002,3912,3702,2359,4787
STBA,US,Financial Services,Banks Regional,11.3920909196,13.6101124899,1.0,2.82908,-7420445000.0,0.08241121209934917,13.154823707974835,1.0841049667274607,0.008566831681845462,6.352905793466096,0.8639993455527997,0.028910793169425138,1292250952.1292,55,45,8,955,4061,2002,2841,1510,4113,4165,3957,1053,2380
PWOD,US,Financial Services,Banks Regional,11.3730043541,13.6603773585,1.0,2.20318,43669000.0,0.10113577697470315,14031.527248928025,1419.089410462055,9.87581300813008,9.746792720702116,0.9069489822695057,4.036341717515503e-05,219902095045.2,56,44,8,1208,2202,1669,4616,4431,253,4526,4324,2219,353
NCBS,US,Financial Services,Banks Regional,11.326907131,14.8105306799,1.0,5.51911,,0.1058396705548733,13.0600659870793,1.3822730814973794,0.0,5.929156126153,0.8556822819699994,,713615065.6,57,40,8,374,4157,1577,2824,1962,4175,4095,3887,2359,2772
HOMB,US,Financial Services,Banks Regional,11.166178172,14.8716158889,1.0,1.72546,,0.11528386470244643,11.063893641961878,1.2754884177021903,0.0,4.98521260537895,0.8329215575230705,0.02672979734742473,3203428701.2,58,39,8,1466,4157,1423,2600,1795,4175,3984,3775,1134,1767
MPB,US,Financial Services,Banks Regional,11.1047678795,13.4416562108,1.0,2.08442,-1911133000.0,0.07441334488006256,0.031040126004180556,0.002309799601469686,0.013292518531100807,8.379650571310862,0.893386220265107,12.172365565351605,549441.2704,59,47,8,1264,3918,2115,1875,286,4084,4411,4204,24,4743
FFIC,US,Financial Services,Banks Regional,11.0875637926,14.3247381144,1.0,1.43714,-6269614000.0,0.07121096068121283,13.352083229826302,0.950814673891442,0.007878436579669497,11.106460205081495,0.9173994724254522,0.043814812030733584,551160643.644,60,42,8,1658,4046,2161,2867,1265,4117,4589,4387,731,2945
CHN,US,Financial Services,Asset Management,11.016667,0.300457,0.539788,5.36393,,0.23526484592366276,3.585485145063894,0.8435386102150386,,0.0412867186154485,0.03964971367583181,0.04143836872779359,204926503.15899998,61,858,1481,397,4157,594,2005,1043,4184,372,126,776,3610
CLBK,US,Financial Services,Banks Regional,10.9851435455,14.2706283879,1.0,0.4925,-7106799000.0,0.05569063944949553,34355.55827841439,1913.2830091693074,0.010518429493650125,7.334404391985075,0.8800154212625358,,1879833082320.0002,62,43,8,2334,4057,2355,4679,4469,4100,4290,4083,2359,125
FDBC,US,Financial Services,Banks Regional,10.9829222011,13.1897533207,1.0,3.06277,-22176000.0,0.10835400383769364,0.19834925390463026,0.02149193581878598,0.4139380004756997,8.453147376795993,0.8942151264398318,1.7582056045261125,2296090.9632,63,48,8,866,3344,1529,1888,309,3730,4418,4211,46,4723
FNLC,US,Financial Services,Banks Regional,10.9549356223,12.9871244635,1.0,2.34404,,0.12011312515293542,12091.991525310033,1452.4068914277982,,8.735144088693131,0.8972793837575092,4.1999288786419795e-05,308648083683.5386,64,51,8,1147,4157,1353,4594,4437,4184,4445,4238,2215,290
MBWM,US,Financial Services,Banks Regional,10.7888307155,13.1893542757,1.0,3.01466,-2935742000.0,0.11872450853536456,10744.95794463555,1275.6898512100165,0.07374443637790888,7.7212076982722815,0.8853369814597919,3.2194044042502335e-05,531402640109.8957,65,49,8,885,3969,1378,4574,4411,3940,4339,4133,2234,232
CASH,US,Financial Services,Banks Regional,10.6715071507,10.7746974697,1.0,2.49229,-5129129000.0,0.11549318915932759,,,0.02407778716868664,6.361363287300678,0.8641555971398488,,,66,57,8,1073,4025,1420,4753,4719,4021,4168,3960,2359,4787
NVS,NaN,Healthcare,Drug Manufacturers General,10.666666666666666,0.8333333333333334,1.0,0.0,,,,,,,0.0,,,67,213,8,2894,4157,4758,4753,4719,4184,4785,8,2359,4787
ATLO,US,Financial Services,Banks Regional,10.6184759913,12.9946099135,1.0,1.86145,-1142155000.0,0.09166338938904135,14115.160468295371,1293.8434502941618,0.007698416008118045,8.26104813069362,0.8920208562311625,3.619680852612097e-05,242698468669.1502,68,50,8,1383,3849,1851,4617,4416,4121,4398,4191,2223,331
MMAC,US,Financial Services,Mortgage Finance,10.323791,-0.809835,0.9344647786524896,17.18173,5854000.0,0.35918897287683416,,,3.1673454276194004,0.7274948866162739,0.4211270853838836,,,69,4044,141,73,2829,354,4753,4719,1092,1726,1494,2359,4787
OVLY,US,Financial Services,Banks Regional,9.62914417887,12.867386276,1.0,1.53869,,0.11094430132362086,12.083571041556569,1.3406033466998313,,9.196189037931953,0.9019241408451931,0.014670828869451532,150911718.738,70,52,8,1602,4157,1493,2731,1908,4184,4489,4283,1602,3816
PCB,US,Financial Services,Banks Regional,9.45041160329,13.4656997256,1.0,1.4907,,0.1062803636139203,9974.921316442675,1060.1382645317722,,6.698704779706746,0.870108020944519,1.6475697509924345e-05,240475403096.8,71,46,8,1625,4157,1570,4568,4369,4184,4203,3995,2271,334
