,Country,Sector,Industry,Net_Income_Ratio,Operating_Income_Ratio,Gross_Profit_Ratio,EPS,Working_Capital,ROE,PE_Ratio,PB_Ratio,Current_Ratio,Debt_To_Equity,Debt_To_Asset,Dividend_Yield,Market_Capital,Net_Income_Ratio_Ranking,Operating_Income_Ratio_Ranking,Gross_Profit_Ratio_Ranking,EPS_Ranking,Working_Capital_Ranking,ROE_Ranking,PE_Ratio_Ranking,PB_Ratio_Ranking,Current_Ratio_Ranking,Debt_To_Equity_Ranking,Debt_To_Asset_Ranking,Dividend_Yield_Ranking,Market_Capital_Ranking
LHX,US,Industrials,Aerospace & Defense,0.08874,0.092842,0.273885,3.67456,2303000000.0,0.036392615221144904,59.70563885644769,2.172844341435339,1.5744574706909453,0.6972594855447823,0.4108148998330551,0.006866615565164209,49078035140.0,1651,2043,2740,698,251,2600,4188,2586,2270,1668,1438,1927,612
MCY,US,Financial Services,Insurance Property & Casualty,0.088705,0.109494,0.31881995248353817,5.78192,,0.17787532328388633,8.331179560556974,1.4819112576701776,0.0,2.2726593246353715,0.6944381003936556,0.052150928680800256,2666702272.0,1652,1883,2499,344,4157,837,2308,2067,4175,3306,3096,586,1894
RMAX,US,Real Estate,Real Estate Services,0.088702,0.24244,1.0,1.40141,35783000.0,0.050292637270379165,50.59636758722045,2.5446247622628473,1.33443306291824,0.0893096009929984,0.08198734401274449,0.011898024182745335,1266933044.384,1653,1067,8,1684,2278,2433,4118,2802,2599,468,224,1712,2397
IFF,US,Basic Materials,Specialty Chemicals,0.08869,0.129428,0.411034,4.02334,1390354000.0,0.0733232603713764,32.604572492338875,2.3906735581531797,1.895736990961158,1.137166044960967,0.5320906382740777,0.021092546581264582,14863544275.8,1654,1706,2014,607,382,2128,3829,2711,1901,2320,2096,1338,998
IFFT,NaN,Industrials,NaN,0.088689795731,0.129427845926,0.411033749643,4.02334,1390354000.0,0.0733232603713764,11.67671427919618,0.8561747613756702,1.895736990961158,1.137166044960967,0.5320906382740777,0.05889614557771104,5323098768.599999,1655,1707,2015,607,382,2128,2674,1066,1901,2320,2096,512,1455
GD,US,Industrials,Aerospace & Defense,0.088539,0.118119,0.17939,11.97926,2979000000.0,0.256610444133461,14.894392737313433,3.8220567354201957,1.1773108743527172,2.597333726154526,0.7220163387318032,0.022199926243270298,51892064296.8,1656,1806,3195,112,207,532,2996,3228,2838,3468,3256,1299,595
PEN,US,Healthcare,Medical Devices,0.088523,0.086788,0.679504,1.33618,372086000.0,0.09972998114807406,133.31261257171158,13.295264338577296,5.086701520077322,0.37047121582573905,0.270323967076187,,6460062580.0,1657,2104,905,1730,1005,1698,4391,4008,617,1055,818,2359,1346
CWT,US,Utilities,Utilities Regulated Water,0.088329,0.161907,0.658777,1.31033,-174009000.0,0.08092770154351935,40.587011901894925,3.28461358573982,0.5149182791082764,2.9893371765315306,0.7493317922880024,0.014842936626747367,2561689843.2000003,1658,1420,993,1744,3590,2024,3984,3066,3643,3605,3393,1595,1928
FCFS,US,Financial Services,Credit Services,0.088294,0.13816,0.5461948607597245,3.8099,538087000.0,0.12193609795301603,22.56869449366473,2.751938542451196,3.6519551310484863,0.8069457458510335,0.44657995277604695,0.011830276180001783,3715213350.1581,1659,1616,1451,665,774,1326,3466,2882,941,1846,1619,1717,1671
BAX,US,Healthcare,Medical Instruments & Supplies,0.088101,0.089509,0.424309,1.92871,4273000000.0,0.1269982238010657,46.61667332667332,5.9202347120020296,2.3229102167182663,1.308170515097691,0.5667564447864564,0.009064941627562051,46663290000.0,1660,2071,1955,1340,163,1268,4070,3612,1553,2552,2332,1832,628
PH,US,Industrials,Specialty Industrial Machinery,0.088083,0.110447,0.253206,9.29348,1736831000.0,0.1973085302984977,19.149812828378376,3.778421424658655,1.5516598573294842,2.2283683157117053,0.6902459997723195,0.01964564240818791,23101204357.1988,1661,1870,2827,163,314,727,3258,3220,2300,3276,3065,1390,838
SAM,US,Consumer Defensive,Beverages Brewers,0.088045,0.115946,0.49140198940010754,9.24093,37999000.0,0.14958620839654393,30.541436737216127,4.568577720503074,1.2103471372661903,0.4328513014588737,0.3020908736434557,,3360810239.9999995,1662,1827,1679,164,2252,1035,3775,3401,2789,1206,970,2359,1729
PRU,US,Financial Services,Insurance Life,0.087792,0.106646,1.0,10.18739,-809304000000.0,0.06632337796086508,8.571198757763975,0.5684708547888775,0.005178748569482875,13.20505426602234,0.9296025216607625,0.04573701223538936,35879038000.0,1663,1911,8,140,4151,2227,2326,700,4133,4631,4429,695,690
GPN,US,Industrials,Specialty Business Services,0.087667,0.161123,0.589343,2.16243,787102000.0,0.01545867716274132,92.30701367167272,1.4269443242071376,1.2199010657254146,0.5968037762548605,0.3737489760041791,0.0021821649021438417,39748600078.200005,1664,1430,1261,1229,594,2808,4301,2007,2772,1501,1268,2095,670
FISV,US,Technology,Information Technology Services,0.087661,0.153333,0.4835574752135074,1.70876,1319000000.0,0.027077837411686224,69.50701007838747,1.8820995178750115,1.0838685063902842,1.3511628612147124,0.5746785488592837,,62069760000.0,1665,1489,1706,1480,394,2684,4231,2398,2963,2605,2386,2359,557
ALK,US,Industrials,Airlines,0.087575,0.121057,0.561781,6.18719,-1164000000.0,0.17755714615562226,10.608656078283484,1.883642697806511,0.6363636363636364,2.0,0.6666666666666666,0.02120603105492271,8158056524.2,1666,1781,1377,306,3850,840,2551,2401,3527,3138,2929,1336,1242
SAVE,US,Industrials,Airlines,0.087522,0.130803,0.362764,4.89002,273399000.0,0.14825554142425793,8.678898032840673,1.286694726824721,1.2458526820881188,2.114718228017823,0.6789436710503375,,2909643960.0,1667,1697,2265,469,1184,1043,2337,1819,2725,3208,2999,2359,1827
BFAM,US,Consumer Cyclical,Personal Services,0.08748,0.129882,0.25360411674588523,3.06013,-254402000.0,0.18572216937034886,52613.16078880845,9771.43035912848,0.47360384034430675,2.428940313075279,0.7083647107572018,,9490677622050.0,1668,1703,2826,868,3651,792,4697,4642,3677,3387,3175,2359,54
EBF,US,Industrials,Business Equipment & Supplies,0.087342,0.115959,0.2940704177805352,1.47071,111915000.0,0.1300993106353774,11831.151297362374,1539.2246278096961,3.9475361479101374,0.24248375117640464,0.19516050084905892,5.184107493391396e-05,453038445478.60004,1669,1826,2634,1632,1720,1230,4592,4443,859,802,562,2203,247
HUBB,US,Industrials,Electrical Equipment & Parts,0.087323,0.132825,0.29949901982138966,7.32907,729300000.0,0.2058959478198346,20.035455529986283,4.125219106348673,1.86317907444668,1.5181038467464434,0.6028757903324495,0.023231452394872062,8032214121.9715,1670,1677,2596,227,633,686,3322,3304,1943,2778,2562,1258,1246
TTC,US,Industrials,Tools & Accessories,0.087309,0.103047,0.33395,2.53477,365921000.0,0.31874128933034584,30.510453279948024,9.724941216503913,1.4834022484378508,1.7112687853807333,0.6311689916573233,0.011500062984416503,8359345521.0,1671,1945,2422,1055,1014,408,3774,3890,2394,2939,2724,1731,1232
RXN,US,Industrials,Specialty Industrial Machinery,0.087076,0.162114,0.3954938838659769,1.44935,808800000.0,0.1373760488176964,16819.271936146586,2310.565122578185,2.77563117453348,1.7666666666666666,0.6385542168674698,8.979414072174404e-06,3029150875700.0,1672,1419,2084,1649,586,1139,4630,4500,1288,2984,2770,2291,89
VVV,US,Energy,Oil & Gas Refining & Marketing,0.087029,0.166527,0.338912,1.10053,374000000.0,-0.8062015503875969,18.95224759615385,-15.279331395348837,1.884160756501182,-9.0,1.125,0.020293919370989965,3942067500.0000005,1673,1384,2390,1879,1001,4307,3249,102,1919,88,4666,1367,1633
SHEN,US,Communication Services,Telecom Services,0.086661,0.153092,0.582482,1.09649,94417000.0,0.11628226946751674,37.948532083371255,4.412741433615281,1.6408277678232068,2.947295672568095,0.746661997744546,0.0066882441328166235,2084702610.0,1674,1492,1303,1883,1834,1408,3939,3376,2178,3591,3379,1939,2073
G,BM,Technology,Information Technology Services,0.086601,0.121963,0.348201,1.5622,641465000.0,0.18049149553242388,28.60587423897193,5.163117022404482,1.7047431859206272,1.6369053221965093,0.6207675749362846,0.007415219158055735,8721387543.852001,1675,1768,2348,1594,683,822,3717,3519,2096,2875,2660,1903,1210
JCTCF,US,Basic Materials,Lumber & Wood Production,0.08653094320529396,0.08584077036105006,0.2775194128911872,1.1172011628307805,16815454.0,0.20100716624600193,6.901174342196611,1.387185498294557,5.8122759375814725,0.20309830117252922,0.16881272376047027,,26839743.6,1676,2113,2724,1869,2574,708,2195,1968,525,729,487,2359,4439
FOX,United States,Communication Services,Broadcasting,0.08632040965618142,0.11899536698366252,1.0,0.0,5580000000.0,0.10521101644541311,14.573011016949152,1.5332413017634237,3.9275970619097587,2.154745393302952,1.0,0.021645668203942023,15476537700.0,1677,1802,8,2894,134,1583,2969,2113,866,3230,4578,1320,982
HBI,US,Consumer Cyclical,Apparel Manufacturing,0.086225,0.127708,0.398683,1.64347,1453126000.0,0.48578556439254567,8.22216955503396,3.9942112778233776,1.8203082352821633,4.946964042390597,0.8318469738724006,0.04392554402148727,4939221695.1,1678,1721,2066,1531,367,267,2293,3275,1980,3980,3771,726,1508
LACQU,United States,Financial Services,Shell Companies,0.0861103084642,-0.783249110317,1.0,0.06017,-1571330.0,0.001965628069867107,179.49337341166827,0.35281721313311337,0.4329477995705599,0.05552481678622201,0.052603989885599806,,65685600.00000001,1679,4036,8,2785,3162,2948,4429,497,3714,404,159,2359,4161
SHW,US,Basic Materials,Specialty Chemicals,0.086102,0.109006,0.44892407043260635,16.49387,109800000.0,0.3738025368030461,33.64215185853221,12.575521708232653,1.02428182843495,3.970824339727888,0.7988261238668631,0.008115303863507705,51852648659.555695,1680,1891,1870,77,1735,342,3854,3987,3076,3848,3636,1880,596
PLOW,US,Consumer Cyclical,Auto Parts,0.085998,0.140218,0.295284,2.15511,133425000.0,0.1569981128038753,24.728556378737338,3.8823366838259954,2.7083210632114003,1.2534430951293736,0.5562346339424256,0.02071303910578699,1215804202.917,1681,1603,2625,1231,1611,979,3562,3245,1326,2482,2261,1356,2426
CAE,CA,Industrials,Aerospace & Defense,0.085946,0.148239,0.299073,1.1637,746300000.0,0.12507531027834679,14.230511075144507,1.7798855881431495,1.3618775153954323,2.4074788127083586,0.7065278891036824,0.025026057627661136,4431381148.799999,1682,1536,2599,1844,615,1290,2950,2320,2562,3371,3159,1191,1563
BOOM,US,Energy,Oil & Gas Equipment & Services,0.085627,0.146963,0.36454030939504467,2.32277,72930000.0,0.1977506811276802,18276.098196104696,3614.110866636072,2.0210996457723702,0.6115916603249661,0.37949542392248603,4.4395390649376196e-06,622136658693.6,1683,1547,2256,1158,1958,723,4639,4559,1775,1526,1293,2303,215
EXC,US,Utilities,Utilities Diversified,0.085255,0.127011,0.580115,3.01437,-2148000000.0,0.09111221449851042,15.497680245231608,1.4120279667328701,0.848572435671484,2.8783825719960277,0.7421605575425878,0.030944246178075716,45501189200.0,1684,1730,1319,886,3933,1861,3052,1995,3302,3567,3357,996,636
GTEC,CN,Industrials,Specialty Industrial Machinery,0.0852,0.12603,0.236229,0.56281,24246390.0,0.115674522772897,7.554896258533876,0.8739090193046511,1.4330229034463398,1.7589434416315939,0.6375424665376456,0.004732089266264741,33729287.64,1685,1737,2900,2262,2438,1417,2246,1103,2462,2977,2763,2009,4380
TT,IE,Industrials,Specialty Industrial Machinery,0.085,0.12155,0.314485,5.77291,4055200000.0,0.19413561560900436,17.89153853568644,3.4733848478177114,1.774099950368419,1.8196791237822665,0.6453497167228667,0.02020744483530376,25243171720.0,1686,1775,2525,345,169,741,3196,3122,2023,3029,2816,1372,808
PRAA,US,Financial Services,Credit Services,0.084711,0.266791,0.8283460216049656,1.89038,-220058000.0,0.07367785542523098,18.76945623157455,1.3828932826401503,0.3524506226606088,2.783082261832685,0.7356652774672794,,1617138810.0,1687,979,370,1367,3626,2125,3238,1963,3763,3534,3323,2359,2244
ATR,US,Consumer Cyclical,Packaging & Containers,0.084694,0.129975,0.364557,3.66141,607966000.0,0.15408075240661714,31.632220873485767,4.8739163924789874,1.8897822984888955,1.2661000969517455,0.5587132265934968,0.011774369068694866,7661387160.0,1688,1701,2255,704,709,998,3803,3460,1911,2500,2281,1721,1273
SAMG,US,Financial Services,Asset Management,0.084639,0.184754,1.0,0.98254,,0.13294175533550648,11.924295882951656,1.5852368258195462,0.0,2.2943139184451686,0.6964466578607135,0.1263464659704748,103097462.20400001,1689,1297,8,1954,4157,1196,2707,2160,4175,3313,3104,198,3965
WW,US,Consumer Cyclical,Personal Services,0.084634,0.203762,0.556613,1.71986,-98680000.0,-0.17448358454538956,19.542331293472447,-3.4098160144586114,0.7495876367142893,-3.185587191467202,1.4575429449367756,,2337575500.0,1690,1221,1398,1469,3516,3643,3288,160,3419,183,4763,2359,1986
DORM,US,Consumer Cyclical,Auto Parts,0.084495,0.106754,0.342797,2.56247,534088000.0,0.10827783408136674,28.90180845729567,3.1294252207905022,3.4221458308768176,0.3457775755444787,0.25693515914365195,,2420873280.0,1691,1908,2379,1040,776,1530,3729,3011,1007,1013,776,2359,1965
PVG,CA,Basic Materials,Gold,0.084445,0.273887,0.317441,0.2203,-66805000.0,0.04287636408600212,49.29594652100594,2.1136309509987403,0.4835530130261683,0.6485001603266052,0.3933879874164663,,2017042243.8,1692,943,2512,2591,3475,2522,4106,2547,3670,1590,1359,2359,2096
IPAR,US,Consumer Defensive,Household & Personal Products,0.08444,0.146776,0.5507053820948152,1.90128,388831000.0,0.12873607917881044,36.40332272568839,4.686421036786011,3.107884964627436,0.7709934103127324,0.4353451604185167,0.015766001400958067,2193263790.9,1693,1551,1426,1354,978,1244,3911,3422,1109,1787,1559,1566,2035
GTN,US,Communication Services,Broadcasting,0.084354,0.225259,0.361923,1.79,426000000.0,0.0846736045411542,11.703910614525139,0.9910122989593187,2.731707317073171,2.2980132450331126,0.6967871485943775,0.018615751789976136,2095000000.0,1694,1129,2268,1428,913,1964,2679,1351,1312,3315,3106,1430,2066
DQ,CN,Technology,Semiconductor Equipment & Materials,0.084354,0.136235,0.228872,0.08427,-270817980.0,0.05210159236958653,620.1460877146632,32.310598671703225,0.3916203377073706,1.1201287689187698,0.5283305360221194,,18308572947.6,1694,1638,2942,2750,3656,2401,4517,4167,3744,2291,2067,2359,919
ARES,US,Financial Services,Asset Management,0.084333,0.171425,1.0,1.24197,,0.19378620052323992,28.757974185238176,5.572898552102722,0.0,14.637579559801637,0.9360514844272559,0.08066302789489427,4281602228.5950003,1695,1363,8,1797,4157,743,3720,3575,4175,4650,4448,364,1581
GOOD,US,Real Estate,REIT Diversified,0.08417,0.2986,0.849056,0.31366,,0.026723140163258736,64.78052788845035,1.7311391266129503,0.0,1.8852220590806774,0.6534062267919054,0.09441453649900103,623706922.51,1696,866,323,2498,4157,2688,4212,2288,4175,3077,2865,311,2856
NSSC,US,Industrials,Security & Protection Services,0.084058,0.10668,0.430075,0.46071,61046000.0,0.10936958447259984,56.72374647887324,6.2038525821234645,4.505570230848742,0.3586218405411997,0.26396001436157146,,483286320.0,1697,1909,1940,2370,2056,1517,4166,3649,728,1040,803,2359,3041
DHX,US,Industrials,Staffing & Employment Services,0.084026,0.113979,0.8912967798085292,0.24308,-41031000.0,0.07786221656999287,11.53333041191937,0.898010670306151,0.44629772074005103,0.7266106268804864,0.4208306236324244,,144754830.0,1698,1843,219,2572,3415,2071,2652,1154,3703,1725,1493,2359,3826
SWM,US,Basic Materials,Paper & Paper Products,0.083887,0.131013,0.2835353930387172,2.78225,269900000.0,0.14355027605822318,12067856.88041958,1732344.1866153588,2.7125634517766497,1.4622720428308515,0.593871033498675,5.2538958682992746e-08,1035422120340000.0,1699,1695,2685,971,1195,1079,4736,4696,1323,2717,2502,2327,16
PFIN,US,Industrials,Tools & Accessories,0.0837,-0.015526,0.35719398711524697,1.50552,22115000.0,0.10559927751257903,4.53322608430055,0.4787053993033157,2.84954420005018,0.32763514385240616,0.24678101161265245,0.02838832477499456,22262673.3,1700,3204,2294,1620,2464,1580,2056,605,1241,979,741,1071,4488
GLW,US,Technology,Electronic Components,0.083456,0.113536,0.350778,1.06785,3942000000.0,0.07437824436352367,25.29130479166667,1.8811228480669404,2.1195683044589604,1.23894011001782,0.5533600941241609,0.03056056905855399,24279652600.0,1701,1845,2327,1898,174,2116,3586,2396,1694,2465,2243,1008,823
MMS,US,Industrials,Specialty Business Services,0.083422,0.109847,0.2325,3.71527,425187000.0,0.19300011540384937,20.43322218715743,3.943614240193879,2.167332897720721,0.39905689409773426,0.28523278487190473,0.01298302436084561,4920810300.0,1702,1878,2919,687,917,748,3352,3264,1664,1121,886,1664,1509
GOODN,United States,Real Estate,REIT Diversified,0.08340982803989964,0.08340982803989964,1.0,0.00031,-452463000.0,0.045840660343816966,83079.69258318834,3808.4279691746665,0.014911432751593687,3.2494354598479824,0.6506135594916056,,792663346936.2,1703,2147,8,2891,3721,2479,4715,4567,4068,3672,2850,2359,186
HR,US,Real Estate,REIT Healthcare Facilities,0.08332,0.149371,0.6172533159826323,0.30593,-249120000.0,0.020623586519853326,115.06672451193059,2.373088548527928,0.0026303462688718336,0.8757042729797596,0.4668669179862817,0.03445593345199669,4508889600.0,1704,1529,1160,2509,3647,2758,4363,2699,4144,1943,1718,899,1558
GRIF,US,Real Estate,Real Estate Development,0.083278,0.217936,0.727687592235214,0.71837,-29284000.0,0.040413388863180626,55.52777293347874,2.244065480267072,0.1670743500767962,1.9582314184350278,0.6619601854783143,0.011189347012328616,203675871.11999997,1705,1157,705,2141,3377,2552,4159,2630,3872,3121,2910,1742,3613
RH,US,Consumer Cyclical,Specialty Retail,0.083241,0.134605,0.413612,9.06929,-385960000.0,11.815720336711168,21.27619207623369,251.39353540292745,0.6073300559968746,130.1293764409415,0.9923739437558419,,4688740828.8,1706,1659,2003,169,3697,28,3398,4255,3554,4776,4569,2359,1533
USPH,US,Healthcare,Medical Care Facilities,0.083074,0.139895,0.23341542713328037,3.13884,24823000.0,0.1666507115297369,36.740618816653765,6.1228502678381895,1.4098707131416872,1.334354462096838,0.5716160436484233,0.009894241827031042,1471057636.8,1707,1607,2914,837,2424,909,3915,3637,2498,2586,2366,1796,2304
LEN,US,Consumer Cyclical,Residential Construction,0.083068,0.109359,0.142845,5.80692,,0.11593153573239867,9.534533360121836,1.1053530949307118,0.0,0.8407774354546285,0.45675127218569817,0.0029185730961751605,17629847978.600002,1708,1884,3355,339,4157,1415,2422,1547,4175,1889,1664,2073,932
RYN,US,Real Estate,REIT Specialty,0.083064,0.150413,0.21531123340959812,0.45606,-25211000.0,0.041045680463839454,,,0.8332451417459289,0.986828992882545,0.49668542004253063,,,1709,1521,3019,2376,3362,2546,4753,4719,3323,2100,1875,2359,4787
CSGS,US,Technology,Software Infrastructure,0.083035,0.126513,0.47319750002508,2.54951,250389000.0,0.20866632044410607,19.718896617131815,4.114669600314626,1.598025283441567,2.234567465499594,0.690839653008893,0.017845358618010187,1632133073.0,1710,1733,1765,1045,1245,675,3302,3302,2231,3281,3070,1465,2238
DE,US,Industrials,Farm & Heavy Construction Machinery,0.082814,0.139966,0.275757,10.1466,,0.2850258477175151,15.872508822625269,4.524075282572505,0.0,5.397178655918689,0.8436810891509499,0.01826341771659821,51633271200.0,1711,1606,2729,142,4157,465,3079,3394,4175,4033,3825,1442,599
OBCI,US,Industrials,Conglomerates,0.082791,0.109167,0.3691492727432347,0.37223,23816370.0,0.11383745696170983,10.569470667217345,1.203201662187409,9.418444930666261,0.24570430522810702,0.19724122331485217,0.01266403923626557,36979512.7181,1712,1886,2224,2455,2443,1444,2546,1700,267,809,569,1678,4345
NWN,US,Utilities,Utilities Regulated Gas,0.082713,0.192229,0.593854003097651,2.06755,-188481000.0,0.071287611186618,35.16851619664696,2.507079508636846,0.6091008828781371,2.9589583821690324,0.7474083070678504,0.024567409874167626,2171128347.4,1713,1266,1243,1277,3597,2159,3892,2776,3553,3595,3383,1206,2039
NNI,US,Financial Services,Credit Services,0.082696,0.103074,0.5336070769788825,3.58785,-543907000.0,0.05941353627919917,16247.378666600847,965.3142218499761,0.3142911533476886,8.933737292140819,0.8993329528866079,1.2797714305061187e-05,2303927037060.0,1714,1943,1508,724,3744,2315,4626,4345,3790,4467,4260,2282,111
CLAR,US,Consumer Cyclical,Travel & Leisure,0.082689,0.049826,0.34994791598565184,0.60943,96308000.0,0.10470660956333613,21.474856024667933,2.248559365203762,4.92069695489334,0.27083425316791027,0.2131153236488394,0.0073314832346435795,407420968.5,1715,2551,2333,2217,1820,1601,3412,2634,650,862,623,1911,3148
HUN,US,Basic Materials,Chemicals,0.082684,0.065617,0.203325,2.43712,1747000000.0,0.2111987974445697,8.636667544483986,1.8240537993235628,1.870019920318725,2.1266441187523486,0.6801682692307692,0.0309035763176055,4853807160.0,1716,2359,3074,1100,309,670,2330,2353,1932,3215,3006,997,1515
TBC,NaN,Industrials,NaN,0.08264668061128189,0.15428300210273024,1.0,1.9,,,,,,,,,,1717,1481,8,1355,4157,4758,4753,4719,4184,4785,4840,2359,4787
FE,US,Utilities,Utilities Diversified,0.082646,0.16638,0.734753,1.68266,-2418000000.0,0.13075268817204302,29.386919078947365,3.8424186666666666,0.5026737967914439,5.064659498207885,0.8351102810808255,0.0305960214679895,26800870200.0,1718,1387,680,1498,3947,1220,3739,3236,3650,3996,3787,1007,781
OESX,US,Industrials,Electrical Equipment & Parts,0.082617,0.086913,0.247141,0.40246,27764000.0,0.4015466408893185,11.951580147648851,4.799116861607862,2.0205852080576387,1.3381021427420654,0.5723026886980969,,148940591.79999998,1719,2102,2854,2426,2375,315,2711,3446,1777,2592,2372,2359,3821
INVH,US,Real Estate,REIT Residential,0.08243,0.230267,0.585421,0.27317,,0.017708245327547088,113.55710033284065,2.010896991378821,0.0,1.1173626093229687,0.5277143387736727,0.01674991093933926,16518356485.716,1720,1103,1289,2545,4157,2788,4358,2492,4175,2283,2059,1521,956
HCKT,US,Technology,Information Technology Services,0.082405,0.110942,0.3422,0.71726,34944000.0,0.16914703445870333,22.967767427116897,3.884929748434026,1.7999450587184946,0.4078146118854186,0.28967920097039773,0.02094194918168974,534620722.401,1721,1863,2382,2143,2287,884,3485,3246,1995,1151,915,1344,2970
RLJ,US,Real Estate,REIT Hotel & Motel,0.082362,0.139149,0.3888297220264182,0.75265,429115000.0,0.04028155713926155,21022.653169130586,846.8252048512117,1.9465236159423327,0.8272297642906705,0.4527234507980996,9.38971864005118e-05,2711817145552.0,1722,1612,2119,2127,909,2557,4652,4317,1845,1870,1645,2182,100
AEIS,US,Industrials,Electrical Equipment & Parts,0.082313,0.068937,0.400092,1.687,546406000.0,0.09596520834503203,43.2602685514544,4.151480684602358,2.705749035375798,1.2644810067473113,0.5583977092232737,,2809365100.0,1723,2316,2063,1496,767,1768,4018,3310,1329,2499,2280,2359,1854
WTS,US,Industrials,Specialty Industrial Machinery,0.082162,0.123149,0.423305,3.84503,315600000.0,0.13445807770961146,26.15605596958175,3.5168930061349695,1.7526830431671834,0.7618609406952965,0.43241831582612733,0.009129177206214529,3439521360.0,1724,1760,1959,656,1097,1174,3623,3140,2050,1773,1545,1830,1713
PPG,US,Basic Materials,Specialty Chemicals,0.082068,0.111779,0.4309388617456754,5.2183,1795000000.0,0.23523845571536714,,,1.4102857142857144,2.351249053747161,0.7016037948949627,,,1725,1858,1936,420,302,595,4753,4719,2496,3337,3128,2359,4787
PAAS,CA,Basic Materials,Silver,0.081982,0.094098,0.169748,0.54937,517249000.0,0.04495881001941051,40.887943242608685,1.8382732723288833,2.903960687598925,0.4054173218372465,0.28846757154469993,0.006478131143305771,4527849058.8,1726,2030,3242,2280,796,2493,3991,2365,1214,1139,904,1947,1553
LFC,NaN,Financial Services,Insurance Life,0.08197018571892119,0.08197018571892119,1.0,1.316,,,9.008434649516172,,,,0.8901612517559853,0.012459054879225053,77373445204.6944,1727,2163,8,1742,4157,4758,2375,4719,4184,4785,4166,1683,517
DRUA,NaN,NaN,NaN,0.0819454501569,0.15170166546,1.0,1.66,-3851000000.0,0.039929432519847104,,,0.612536472482141,2.052043516612761,0.6723506743737958,,,1728,1508,8,1518,3992,2561,4753,4719,3551,3171,2962,2359,4787
D,US,Utilities,Utilities Diversified,0.081945,0.152245,0.99469,1.67882,-3851000000.0,0.04244545852347315,49.80518813696612,2.1140040473213726,0.612536472482141,2.2450772019753704,0.6918409215684386,0.04410409332545966,67635445489.99999,1729,1504,24,1502,3992,2528,4110,2548,3551,3290,3081,723,537
ST,GB,Technology,Scientific & Technical Instruments,0.081931,0.160122,0.34289322735464906,1.74549,1330906000.0,0.10984495416230372,27.70730073501843,3.0435071791992634,3.096753662094759,1.6554660408624753,0.6234182683521693,,7833241820.0,1730,1436,2378,1448,391,1513,3687,2974,1114,2885,2671,2359,1257
GLOB,LU,Technology,Software Application,0.081925,0.124831,0.385487,1.43375,130260000.0,0.12312121336451538,88.99754512635378,10.957485742419891,1.8910261233591672,0.5676819066635667,0.3621154931051931,,4807202400.0,1731,1743,2131,1664,1628,1312,4294,3940,1909,1447,1214,2359,1523
EMN,US,Basic Materials,Chemicals,0.081851,0.120781,0.240914,5.48014,1532000000.0,0.12739174219536759,12.36982002635046,1.5758129237999328,1.8563443264393515,1.6868076535750252,0.6278110944527736,0.03653330504966751,9388693400.0,1732,1785,2884,383,350,1262,2756,2151,1945,2914,2701,857,1170
MTOR,US,Consumer Cyclical,Auto Parts,0.08180026281208935,0.10906701708278581,0.10775295663600526,3.453536754507628,557000000.0,0.503030303030303,7.334510040160643,3.689480808080808,1.7672176308539944,4.8262626262626265,0.8283633841886269,0.005475572649076573,1826292999.9999998,1733,1889,3459,759,756,262,2232,3191,2036,3961,3752,1989,2160
POOL,US,Consumer Cyclical,Leisure,0.081755,0.106655,0.289083,6.40095,582722000.0,0.6377078355843776,34.74386590270477,22.156435524647716,2.490924814377018,2.61613438002828,0.7234616043245109,0.009217741185692655,9088126723.5,1734,1910,2656,281,732,213,3876,4122,1449,3481,3269,1827,1194
TOL,US,Consumer Cyclical,Residential Construction,0.081674,0.094242,0.195924,4.02732,,0.11633052145424834,9.86282691696878,1.1473477982639748,0.0,1.134962703694298,0.5316077427162454,0.010936501557906425,5819136920.799999,1735,2028,3113,603,4157,1406,2467,1624,4175,2316,2092,1757,1400
NCR,US,Technology,Information Technology Services,0.081562,0.093709,0.277802,3.8843,606000000.0,0.3762508338892595,8.830425531914893,3.3224549699799866,1.2387706855791962,4.995330220146765,0.8332035161900523,,4980360000.0,1736,2036,2723,647,713,337,2357,3078,2739,3986,3777,2359,1504
LNN,US,Industrials,Farm & Heavy Construction Machinery,0.0813769770714,0.114183512678,0.321351528991,3.57,245540000.0,0.12940258208885227,27.087619146237284,3.5052078601625367,3.397968650813028,0.9111946348293906,0.4767670535610998,0.013040349756993632,1046367640.0000001,1737,1839,2485,730,1256,1236,3669,3135,1014,1993,1764,1662,2519
STRA,US,Consumer Defensive,Education & Training Services,0.081371,0.110849,0.467873,3.6719,367346000.0,0.0554710092909736,44.84848384727255,2.487790664178135,3.3435450532064204,0.22335117692502274,0.18257323092329977,0.012812880644027644,3638916282.4,1738,1865,1784,699,1010,2358,4040,2770,1035,771,531,1675,1683
ICCH,US,Financial Services,Insurance Specialty,0.081268,0.076888,1.0,1.42486,25208410.0,0.06473065334495597,9607.297614307172,621.8866514535399,1.2705154250198445,1.4570246253381915,0.5930036357497065,,41257098510.0,1739,2239,8,1672,2418,2245,4565,4292,2688,2710,2495,2359,657
YUMC,CN,Consumer Cyclical,Restaurants,0.081244,0.102666,0.438126709206928,1.83763,523000000.0,0.2317192070198245,23.202049929873773,5.376360610984726,1.3012672811059909,1.2586935326616835,0.5572661870503597,0.01094114284141939,16543061600.0,1740,1951,1905,1396,787,606,3496,3555,2653,2489,2270,1756,955
